Participant	Condition	Strategies	Strategy Comments	Different Game Types?	How Many Game Types?	When Did Games Change?	What Changed?	Adapted to Changes?	Play Music?	Instrument	Kind of Music	Music How Long	Music Hours Per Week	Music Theory	Play Sports?	Kind of Sports	Sports How Long	Sports Hours Per Week	Sports Level	Played Before	Similar Game	Challenge	Feedback	Strategy
A3H2KP0VBENV3N	fast-fast-fast	good engaging game.	nice	no					no						no					no		all aspects are challenging.	excellent.	coupled
A3IGG3RX4HXUV9	fast-fast-fast	good and use full game	good	no					no						yes	football	26	3	recreational	no		nothing	good	coupled
A3LA0JBSIW4MUI	fast-fast-fast	"I tried to visualize guidelines on the circle, dividing it into four quarters, and using that to align the ship and keep my aim accurate. I started out focusing on the circle, but then later shifted to looking at the ship. "		yes	3	I'm not sure	Changes in speed and/or distance to the circle.	I tried to slow down when there was a change to plan out my aim and movement around the circle.	no						no					no		"Adjusting to the speed changes, especially when it went faster"		coupled
A3LNWWZ7HGAGGM	fast-fast-fast	nothing	nice	no					no						no					no		very engageing game.	nice	coupled
A3Q4Y5ONYPSQGF	fast-fast-fast	FOCUS ON FIRE.	INETERSTING SURVEY.	no					no						yes	CRICKET	10	5	competitive	no		SOMETIMES MIND BLOWING.	I LIKE PARTICIPATE.	coupled
A7OZPNXIVO1FX	fast-fast-fast	"The strategy I used was to move to another spot each time I shot the circle. If I stayed in one spot, my balls would pop, so I had to just make sure to keep on moving."		no					no						no					no		"I found it challenging only using a couple of keys on the keyboard, because I kept getting them mixed up while playing, so when I mean to shoot I turn, or when I mean to turn I shoot."		coupled
AAE1COF4E8740	fast-fast-fast	I focused and tried my best.	N/A	no					no						no					yes	Space invaders	The random rotations		streamed
ACGHHDT7RY1AH	fast-fast-fast	"The safest way is to move, shoot, move, shoot, etc. But it goes faster if you can get into a pattern of move, shoot, shoot, move, shoot, shoot, etc."	It was always hard for me to rotate back around after my ship spontaneously rotated. And sometimes I felt like it would have been more natural if the shoot button was on the left and the movement controls were on the right.	yes	2	I'm not sure.	Either the circle was getting smaller or the ship was moving faster.	I had to get into a different rhythm of moving and shooting.	no						no					no		Rotating back after the ship spontaneously rotated and shooting the double shot correctly.		streamed
AFM65NU0UXIGP	fast-fast-fast	"It wasn't complicated, simply try to keep my rotation in sync. Sometime taking one shot, sometimes 2, then clicking rotate. "		no					no						no					no		The sudden turns were quite annoying. 	The shoot sound was very annoying. There were a few issues of lag but very infrequent	streamed
AJZYNIL3ITOK0	fast-fast-fast	nothing	excellent	no					no						no					no		very engaging game.	nice.	coupled
AQXRHIMQ7UK7O	fast-fast-fast	Just really a matter of getting the timing down. 	I definitely need to remember to use the A button when it turns around on me randomly. 	yes	2	I don't know.	It just seemed like the speed varied between games and maybe even within each game it changed.	Just tried to adjust my timing.	yes	trumpet	I don't play anymore. I played in middle and high school	7	1	never	yes	ice hockey	25	3	recreational	no		getting the timing and angle right		coupled
ASZBND3G5UYJG	fast-fast-fast	It is very intersting to play the game	good entertainment	no					no						no					no		interesting game turn the arrow aim the circle and shoot	good game	coupled
AUPXYEKITX8UT	fast-fast-fast	I flow through the ship to launch the bullets towards the inner circle. I used clockwise shift more than other	None	no					no						no					no		keeping the track of the ship was pretty challenging in this game	None	coupled
AXMPSUNKUBEIL	fast-fast-fast	I tried to establish a rhythm alternating rotation and missile launching.		no					no						no					no		Keeping with it for so long was challenging.		coupled
AY4PZPXHSRCP5	fast-fast-fast	FOCUS ON GAME	INTRESTING GAME	no					no						no					no		SHOOTING	I LIKE THIS GAME	coupled
AY5OS6NZWVX22	fast-fast-fast	"I just tried to find a rhythm that worked, and tried not to miss or pop the balloons."		no					no						no					no		It was really frustrating when the ship would randomly change direction.		coupled
AZ8NBOTCBCLKG	fast-fast-fast	I tried to wait until I was around a spot where I could hit the circle in the middle accurately. I mostly kept the ship going clockwise as it was easier for me to do that way. When the circle was full I just tried to rapid fire to pop it in time. 	No other strategies this game was rather difficult to accomplish. 	yes	2	Half way through I think. 	Sometimes they would go faster or slower. 	I tried to adjust my turning and firing speed. 	no						no					no		Trying to hit the target accurately then popping it in time. 	"Interesting game, very difficult. "	coupled
